UIN,INCIDENT_MONTH,INCIDENT_YEAR,VICTIM_INJURY,STATE,LOCATION,LATITUDE,LONGITUDE,SITE_CATEGORY,SITE_CATEGORY_COMMENT,SHARK_COMMON_NAME,SHARK_SCIENTIFIC_NAME,SHARK_IDENTIFICATION_METHOD,SHARK_IDENTIFICATION_SOURCE,SHARK_LENGTH_M,BASIS_FOR_LENGTH,PROVOKED_UNPROVOKED,PROVOCATIVE_ACT,NO_SHARKS,VICTIM_ACTIVITY,FISH_SPEARED,COMMERCIAL_DIVE_ACTIVITY,OBJECT_OF_BITE,PRESENT_AT_TIME_OF_BITE,DIRECTION_FIRST_STRIKE,SHARK_BEHAVIOUR,VICTIM_AWARE_OF_SHARK,SHARK_CAPTURED,INJURY_LOCATION,INJURY_SEVERITY,VICTIM_GENDER,VICTIM_AGE,VICTIM_CLOTHING,CLOTHING_COVERAGE,DOMINANT_CLOTHING_COLOUR,OTHER_CLOTHING_COLOUR,CLOTHING_PATTERN,FIN_COLOUR,DIVERSIONARY_ACTION_TAKEN,DIVERSIONARY_ACTION_OUTCOME,PEOPLE_LESS_THAN_3M,PEOPLE_3_TO_15M,TIME_OF_INCIDENT,DEPTH_OF_INCIDENT_M,TEETH_RECOVERED,TIME_IN_WATER_MIN,WATER_TEMPERATURE_C,TOTAL_WATER_DEPTH_M,WATER_VISIBILITY_M,DISTANCE_TO_SHORE_M,TIDAL_CYCLE,WIND_CONDITION,WEATHER_CONDITION,AIR_TEMPERATURE_C,PERSONAL_PROTECTIVE_DEVICE,DETERRENT_BRAND_TYPE,DATA_SOURCE,REFERENCE,
14,December,1840,Fatal,NSW,"wooloomooloo bay, sydney harbour",-33.85,151.2166667,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,dead animal nearby (whale),,,,,leg,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,cairns post 13.2.1919,
15,April,1841,Fatal,NSW,"cockatoo island, sydney harbour",-33.83333333,151.1666667,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit victim on leg,,,thigh,major lacerations,Male,,,,,,,,,,,,,0,,,,,,12,,,,,,,media outlet,the sydney herald 27.4.1841,
16,March,1847,Injured,QLD,moreton bay,-27.25,153.25,coastal,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,,,foot,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,"green, whitley 1958, the queenslander 12.3.1921",
17,November,1847,Injured,QLD,brisbane river,-27.43333333,153.0833333,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,other: side,bit victim onleg - thigh,Y,,"thigh, calf",major lacerations,Male,,,,,,,,hit at shark,,,,,0,,2,,,,5,,,,,,,media outlet,"morton bay courrier 4.12.1847, maitland mercury 15.12.1847",
18,January,1849,Fatal,WA,"quindalup, busselton",-33.36666667,115.2833333,ocean/pelagic,,Great White Shark,Carcharodon carcharias ,"shark behaviour, geographical location",,,,provoked,enticed shark,1,swimming,,Y,,dead animal nearby (whale),,,,,,,Male,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,bunbury herald 7.6.1849,
19,December,1849,Injured,VIC,portland,-38.33333333,141.6,coastal,,Great White Shark,Carcharodon carcharias ,"shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit leg,,,leg,other: teeth marks,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,portland guardian 1.12.1874,
20,December,1849,Fatal,NSW,"woolloomooloo bay, sydney harbour",-33.81666667,151.2,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,below,bit victim on body,N,,thigh,major lacerations,Male,,,,,,,,hit shark with paddle,,,,,,,,,,,40,,,,,,,media outlet,smh 3.12.1849,
21,January,1850,Fatal,QLD,moreton bay,-27.28333333,153.2166667,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,boating,,bit victim,,,other: body not recovered,,Male,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,the queenslander 6.2.1909,
22,March,1850,Injured,NSW,"yamba, clarence head",-29.41666667,153.3333333,coastal,,Whaler Shark,Carcharhinidae,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,clarence & richmond examiner 8.11.1881,
23,November,1853,Injured,NSW,sydney harbour,-33.85,151.2166667,estuary/harbour,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,1,other: media report,provoked,,1,swimming,,,,,,bit leg,,,leg,minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,empire 14.11.1853,
24,January,1855,Injured,QLD,mary river,-25.5,152.7166667,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victims leg off,,,leg,major lacerations,Female,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,capricornian 15.9.1923,
25,January,1855,Uninjured,NSW,"woolloomooloo bay, sydney harbour",-33.85,151.2166667,estuary/harbour,,Bull Shark,Carcharhinus leucas,"shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,swam towards victim,Y,,other: uninjured,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,evening news 6.1.1915,
26,July,1855,Fatal,QLD,hammond island,-10.56666667,142.2,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on torso,,,torso,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,freemans journal 25.8.1855,
27,November,1855,Fatal,NSW,"millers point, sydney harbour",-33.86666667,151.2,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,below,bit victim from below,,,leg,major lacerations,Male,,,,,,,,,,,1,,,,4,,,,,,,,,,,media outlet,the maitland mercury 14.11.1855,
28,February,1856,Injured,VIC,"port phillip bay, point henry",-38.13333333,144.4166667,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,below,bit victim on leg,,,"thigh, foot",major lacerations,Male,18,,,,,,,kick at shark with other foot,,,,2100,0,,1,,,,,,,,,,,media outlet,the argus 16.2.1856,
29,May,1856,Injured,SA,"port elliot, horseshoe bay",-35.53333333,138.6833333,coastal,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,the register sa 24.5.1906,
30,March,1858,Fatal,VIC,"hobson's bay, port phillip bay",-37.85,144.9,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,below,bit victim on leg,,,calf,major lacerations,Male,22,,,,,,,,,,,1500,0,,,,,,,,,,,,,media outlet,the argus 16.3.1858,
31,January,1860,Injured,SA,encounter bay,-35.56666667,138.6,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,,,arm,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,south australian chronicle 15.12.1894,
32,January,1861,Injured,QLD,"cleveland, moreton bay",-27.51666667,153.2666667,coastal,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on hand,,,"arm, hand",minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,moreton bay courier 15.1.1861,
33,February,1862,Injured,VIC,"huttons wharf, port phillip bay",-37.85,144.9,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,grazed leg with fin,Y,,leg,abrasion,Male,,,,,,,,hit out at shark with arm,,,,,0,,5,,,,,,,,,,,media outlet,geelong advertiser 19.2.1862,
34,December,1862,Fatal,QLD,"brisbane river, brisbane",-27.36666667,153.15,river,,Bull Shark,Carcharhinus leucas,"shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,other: shot bird,,bit victim on torso,Y,,other: body not recovered,,Male,,,,,,,,,,,,,0,,1,,,,10,,,,,,,media outlet,the courier brisbane 19.12.1862,
35,January,1863,Fatal,NSW,manning river,-31.88333333,151.4666667,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on right thigh,N,,thigh,major lacerations,Male,17,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,"green & whitley, sydney herald 21.1.1863",
36,January,1863,Fatal,QLD,"moreton bay, victoria point",-27.58333333,153.3166667,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,enticed shark,1,swimming,,,,"catch, boating, other sealife (turtle/s)",,bit victim on legs,,,other: body not recovered,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,the queenslander 14.10.1916,
37,March,1863,Injured,VIC,"brighton bay, melbourne",-37.9,144.9833333,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on torso,,,"torso, leg",major lacerations,Male,,,,,,,,swam to shore,,,,2000,1,,5,,,,,,,,,,,media outlet,argus 10.3.1863,
38,April,1863,Fatal,QLD,caloundra heads,-26.8,153.1333333,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,2,,,,,boating,,bit victim,,,other: body not recovered,,Male,,,,,,,,,,,,,0,,5,,,,,,,,,,,media outlet,brisbane courier 12.6.1880,
39,November,1865,Fatal,VIC,"williamstown, phillip bay, melbourne",-37.86666667,144.8666667,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,,,thigh,major lacerations,Male,33,clothes,,,,,,,,,,,,,,,,,,,,,,,,media outlet,argus 27.11.1865,
40,January,1868,Injured,QLD,yeppoon,-23.08333333,150.7333333,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victims leg off,,,leg,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,capricornian 1.12.1923,
41,January,1869,Injured,QLD,"brisbane river, milton reach",-27.46666667,153,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit leg,Y,,leg,other: teeth marks,Male,,,,,,,,shook shark off leg,,,,,,,,,,,6,,,,,,,media outlet,darling downs gazette 23.1.1869,
42,March,1869,Injured,SA,"cape elizabeth, port hughes",-34.13333333,137.45,coastal,,Broadnose Sevengill Shark,Notorynchus cepedianus,,,2.2,other: media report,provoked,enticed shark,1,fishing,,Y,,"catch, fishing",,bit victim on foot,,Y,foot,minor lacerations,Male,,,,,,,,,shark released victim permanently ,,,,1,,,,1,,,,,,,,,media outlet,smh 23.3.1869,
43,January,1870,Injured,QLD,"brisbane river, north quay",-27.46666667,153.0166667,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,below,bit victim on leg,,,thigh,major lacerations,Male,17,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,the brisbane courier 10.1.1870,
44,May,1870,Injured,QLD,moreton island,-27.08333333,153.4,coastal,,Whaler Shark,Carcharhinidae,shark behaviour,,,,provoked,,1,spearfishing,,,,"spearfishing, baitfish",,bit victim on leg,,,leg,minor lacerations,Male,13,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,the brisbane courier 26.5.1870,
45,January,1872,Injured,QLD,"wide bay, near fraser island",-25.8,153.0166667,coastal,,,,,,,,unprovoked,,1,swimming,,,,,,bit victim,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,brisbane courier 9.1.1873,
46,February,1873,Uninjured,SA,semaphore beach,-34.83333333,138.4666667,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,unmotorised boating,,,Vessel,,below,bit canoe,,,other: uninjured,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,smh 17.2.1873,
47,January,1874,Injured,NSW,"darling harbour, sydney harbour",-33.86666667,151.2,estuary/harbour,,Bull Shark,Carcharhinus leucas,"shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,,,"calf, foot",major lacerations,Male,,,,,,,,,,,,,0,,1,,,,,,,,,,,media outlet,"sharks & survival, the argus 14.1.1874",
48,November,1874,Injured,QLD,"mary river, maryborough",-25.5,152.7166667,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,3,bite radius estimation,unprovoked,,1,swimming,,,,,,bit victim on leg,,,thigh,other: teeth marks,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,maitland murcury 10.12.1874,
49,November,1874,Injured,NSW,"redhead beach, newcastle",-33,151.7166667,coastal,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location, direct observation",,2,,provoked,,1,swimming,,,,,,bit victim on foot,,Y,foot,minor lacerations,Male,,,,,,,,,,,,1900,,,,,,,,,,,,,,media outlet,maitland murcury 24.11.1874,
50,July,1875,Injured,NSW,"yamba, clarence river",-29.41666667,153.3333333,river,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit victim,,,,major lacerations,Male,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,richmand river herald 9.12.1932,
51,October,1875,Fatal,QLD,torres strait islands,-10.25,142.1166667,estuary/harbour,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,bit victim on leg,,,leg,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,brisbane courier 18.8.1877,
52,November,1875,Injured,NSW,"yamba, clarence river heads, lluka beach",-29.4,153.3333333,island open ocean,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,provoked,enticed shark,1,swimming,,,,catch,,bit foot,,,foot,major lacerations,Male,,,,,,,,,,,,,0,,1,,,,,,,,,,,media outlet,brisbane courier 27.11.1875,
53,December,1875,Injured,NSW,"yamba, clarence river, grafton",-29.4,153.3333333,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit leg,,,leg,minor lacerations,Male,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,newcastle chronicle 8.1.1876,
54,January,1876,Injured,WA,port walcott & de grey river,-20.7,117.25,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,provoked,,,snorkelling,,Y,,,,bit victim on leg,N,,thigh,major lacerations,Male,36,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,"green, whitely, the advertiser 11.1.1940",
55,January,1876,Injured,VIC,st kilda beach,-37.86666667,144.9666667,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,abbatoir,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,the argus 5.2.1876,
56,February,1876,Fatal,QLD,torres strait islands,-10.25,142.1166667,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,bit victim in half,,,torso,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,brisbane courier 18.8.1877,
57,February,1876,Fatal,VIC,albert park pier,-37.85,144.95,estuary/harbour,,Great White Shark,Carcharodon carcharias ,,researcher,4,,unprovoked,,1,swimming,,,,"swimming, other sealife",,bit victim on leg,N,,"leg, pelvic region",major lacerations,Male,18,,,,,,,,,,,600,,,2,,,,,,,,,,,media outlet,the age 7.2.1876,
58,July,1876,Uninjured,NSW,"dawse point battery, sydney harbour",-33.85,151.2,coastal,,Whaler Shark,Carcharhinidae,"bite analysis, shark behaviour, geographical location",,4.3,witness/victim,provoked,,1,diving,,Y,,other: metal helmet,,circled diver,,,other: uninjured,,Male,,,,,,,,pushed at shark with shovel,shark released victim permanently ,,,,,,,,,,,,,,,other: shovel,,media outlet,evening news 7.7.1876,
59,December,1876,Injured,NSW,"paterson river, newcastle",-32.76666667,151.7,island open ocean,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit victim on leg,,,leg,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,maitland mercury 11.8.1877,
60,January,1877,Fatal,VIC,"emerald hill, melbourne",-37.83333333,144.9333333,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,,,,,major lacerations,Male,30,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,the argus 1.2.1877,
61,January,1877,Injured,VIC,port fairy,-38.38333333,142.4833333,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit victim on foot,Y,,foot,minor lacerations,Female,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,the argus 24.1.1877,
62,March,1877,Injured,VIC,"port phillip bay, portarlington",-38.1,144.65,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,,,"thigh, foot",major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,the argus 27.3.1877,
63,December,1877,Injured,NSW,"balmain, sydney harbour",-33.86666667,151.2,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,,,leg,major lacerations,Male,12,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,"green, shark&survul. smh 17.12.1877",
64,December,1877,Injured,SA,st kilda beach,-34.73333333,138.0333333,coastal,,,,,,1.2,witness/victim,provoked,,1,swimming,,,other animal in area,other: swimming with dog,,bit leg,,,leg,minor lacerations,Male,,,,,,,,,,,,,,,,,,,120,,,,,,,media outlet,northern argus 7.12.1877,
65,January,1878,Injured,QLD,"torres strait, saibai island",-9.633333333,142.6833333,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,,,,,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,maitland mercury & hunter valley advertiser 26.3.1878,
66,March,1878,Injured,VIC,hopkin's river,-38.38333333,142.5,river,,Whaler Shark,Carcharhinidae,"shark behaviour, geographical location",,3.2,witness/victim,unprovoked,,1,swimming,,,,,below,bit victim on back,,,torso,minor lacerations,Male,,,,,,,,swam to shore,,,,,,,,,,,,,,,,,,media outlet,the argus 7.3.1878,
67,July,1878,Injured,QLD,"inskip point, off frazer island",-25.8,153.05,coastal,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,provoked,enticed shark,1,fishing,,Y,Catch,"catch, fishing, baitfish",,bit victim on leg,Y,,calf,major lacerations,Male,,,,,,,,,,,,,1,,,,,,,,,,,,,media outlet,brisbane courier 26.7.1878,
68,November,1878,Injured,NSW,"iron cove river, sydney harbour",-33.85,151.15,estuary/harbour,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim,,,,minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,south australian register 19.11.1878,
69,June,1879,Fatal,NSW,"darling harbour, sydney harbour",-33.86666667,151.2,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit legs,,,leg,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,goulburn herald 23.6.1879,
70,November,1879,Injured,NSW,"yamba, clarence river heads, lluka beach",-29.4,153.3333333,estuary/harbour,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit victim on leg,,,thigh,major lacerations,Male,15,,,,,,,,,,,,1,,,,,,,,,,,,,media outlet,maitland mercury & hunter river advertiser 20.11.1879,
71,January,1880,Fatal,QLD,"cairns, fitzroy island",-16.9,145.9833333,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim in half,,,other: body not recovered,,Male,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,morning bulletin rockhamton 2.3.1922,
72,January,1880,Injured,NSW,"lake macquarie, dora creek",-33.08333333,151.5,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit victim on leg,,,foot,major lacerations,Female,13,,,,,,,,,,,1700,1,,,,,,35,,,,,,,media outlet,newcastle morning herald 5.1.1880,
